time              dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
6.00012800e-03    -6.21339405e-14   -7.13208608e-14   -2.11806736e-03   -2.24704538e-04   -4.93991650e-01   -9.75764852e-05   -2.90871958e-01   5.80443392e-09    -5.25190792e-09   -2.17516858e-12   -1.06704750e-08   -4.85877330e-12   3.10408401e-15    2.54639113e-10    -2.52967992e-14   -3.95855335e-07   -3.06150097e-07   
2.58005504e-01    -2.61709968e-10   -2.66992899e-10   5.76324960e-02    -6.32743868e-03   2.63854172e-01    -4.44885849e-03   -4.56611867e-04   7.39509706e-05    -4.43805575e-05   -1.50743791e-06   6.00714041e-05    -1.04254586e-06   7.69389382e-10    3.78624101e-09    -1.28235568e-09   -1.66735420e-03   -1.14608687e-03   
5.85012480e-01    -1.24774951e-10   -3.20189000e-10   5.32637856e-02    -6.29584826e-04   9.74622523e-02    -2.49203867e-03   -2.83275664e-04   6.72522444e-06    -3.02044204e-05   -5.22549160e-07   7.95862841e-05    -1.99753401e-06   9.77434597e-10    8.48075500e-09    -1.07732819e-10   -7.94941215e-04   -1.37443509e-03   
8.58018304e-01    -2.83457546e-10   -2.77083781e-10   3.70748452e-02    -2.76704913e-03   4.64678688e-02    -1.55633327e-03   -1.61978078e-04   4.04243522e-05    -2.11779846e-05   -4.16997970e-06   7.21101962e-05    -2.35191823e-06   4.05078301e-10    9.19358072e-09    -7.80922932e-10   -1.80590802e-03   -1.18940273e-03   
1.13102413e+00    -1.15628929e-10   3.63702683e-10    2.73930125e-02    -5.31976959e-04   2.57051100e-02    2.88800123e-03    -6.90297683e-05   8.88409806e-06    4.68931698e-05    -1.27380133e-06   6.49924660e-05    6.65798771e-06    1.36811683e-09    6.40628567e-09    8.19443562e-10    -7.36671908e-04   1.56122081e-03    
1.40402995e+00    -2.22895469e-11   1.82001084e-10    2.07798135e-02    2.30173326e-04    1.52452116e-02    1.21931352e-03    -7.00557889e-05   -3.78024102e-06   1.67676801e-05    6.11047148e-07    5.70484184e-05    2.94855975e-06    2.67669487e-09    9.71681411e-09    -5.76723429e-10   -1.42006703e-04   7.81253184e-04    
1.66503552e+00    2.96142999e-11    1.71064789e-10    1.66955048e-02    3.71997049e-04    1.01778018e-02    7.39026980e-04    -8.61559008e-06   -8.70881341e-06   1.52661247e-05    1.98107094e-06    5.21549682e-05    3.39199338e-06    4.33447817e-09    1.66355861e-09    -2.07050781e-09   1.88672705e-04    7.34308323e-04    
1.94104141e+00    1.54046752e-10    2.71061696e-10    1.37051948e-02    1.05038677e-03    6.97475873e-03    1.12313267e-03    7.75311780e-05    -2.31881223e-05   2.20566923e-05    6.09894765e-06    4.75250172e-05    5.69559660e-06    1.21955728e-08    -1.97401649e-08   -1.22644217e-08   9.81431857e-04    1.16355248e-03    
2.23504768e+00    2.36038551e-10    3.56639038e-10    1.16286092e-02    1.37415320e-03    4.94921826e-03    1.28226075e-03    7.23446110e-05    -3.04017013e-05   2.72598056e-05    8.91238444e-06    4.37656438e-05    7.92166516e-06    2.51589257e-08    -2.40539924e-08   -2.79182150e-08   1.50380161e-03    1.53089958e-03    
2.53505408e+00    3.79434707e-10    3.24988322e-10    5.80292212e-03    1.97663064e-03    1.01132741e-03    1.01741410e-03    5.97332986e-05    -4.32657487e-05   2.07080020e-05    1.45980095e-05    1.12439203e-05    6.97427028e-06    2.58679738e-08    -2.52683425e-08   -5.40641277e-08   2.41737852e-03    1.39503653e-03    
